,id,Years,School,Expert,Union,Married,Black,Hisp,Wage
0,13.0,1982.0,14.0,3.0,0.0,0.0,0.0,0.0,1.3444617
1,13.0,1981.0,14.0,2.0,1.0,0.0,0.0,0.0,1.85306
2,13.0,1986.0,14.0,7.0,0.0,0.0,0.0,0.0,-0.7202626
3,13.0,1983.0,14.0,4.0,0.0,0.0,0.0,0.0,1.4332134
4,13.0,1984.0,14.0,5.0,0.0,0.0,0.0,0.0,1.5681251
5,13.0,1987.0,14.0,8.0,0.0,0.0,0.0,0.0,1.6691879
6,13.0,1980.0,14.0,1.0,0.0,0.0,0.0,0.0,1.1975402
7,13.0,1985.0,14.0,6.0,0.0,0.0,0.0,0.0,1.699891
8,17.0,1983.0,13.0,7.0,0.0,0.0,0.0,0.0,1.7254101
9,17.0,1986.0,13.0,10.0,0.0,0.0,0.0,0.0,1.5723854
10,17.0,1985.0,13.0,9.0,0.0,0.0,0.0,0.0,1.6085882
11,17.0,1982.0,13.0,6.0,0.0,0.0,0.0,0.0,1.5591905
12,17.0,1987.0,13.0,11.0,0.0,0.0,0.0,0.0,1.8203338
13,17.0,1980.0,13.0,4.0,0.0,0.0,0.0,0.0,1.6759624
14,17.0,1981.0,13.0,5.0,0.0,0.0,0.0,0.0,1.5183982
15,17.0,1984.0,13.0,8.0,0.0,0.0,0.0,0.0,1.6220223
16,18.0,1986.0,12.0,10.0,0.0,1.0,0.0,0.0,2.069944
17,18.0,1987.0,12.0,11.0,0.0,1.0,0.0,0.0,2.8731608
18,18.0,1982.0,12.0,6.0,0.0,1.0,0.0,0.0,1.6317437
19,18.0,1980.0,12.0,4.0,0.0,1.0,0.0,0.0,1.5159627
20,18.0,1983.0,12.0,7.0,0.0,1.0,0.0,0.0,1.9982288
21,18.0,1985.0,12.0,9.0,0.0,1.0,0.0,0.0,2.2666621
22,18.0,1984.0,12.0,8.0,0.0,1.0,0.0,0.0,2.1840143
23,18.0,1981.0,12.0,5.0,0.0,1.0,0.0,0.0,1.7353791
24,45.0,1985.0,12.0,7.0,0.0,0.0,0.0,0.0,1.9082729
25,45.0,1986.0,12.0,8.0,0.0,0.0,0.0,0.0,1.7424474
26,45.0,1987.0,12.0,9.0,0.0,1.0,0.0,0.0,2.135689
27,45.0,1984.0,12.0,6.0,0.0,0.0,0.0,0.0,1.8232137
28,45.0,1983.0,12.0,5.0,0.0,0.0,0.0,0.0,1.7409142
29,45.0,1980.0,12.0,2.0,1.0,0.0,0.0,0.0,1.894115
30,45.0,1982.0,12.0,4.0,0.0,0.0,0.0,0.0,1.4734975
31,45.0,1981.0,12.0,3.0,1.0,0.0,0.0,0.0,1.4711593
32,110.0,1981.0,12.0,6.0,0.0,0.0,0.0,0.0,1.9622593
33,110.0,1980.0,12.0,5.0,1.0,0.0,0.0,0.0,1.9487748
34,110.0,1982.0,12.0,7.0,0.0,0.0,0.0,0.0,1.9632968
35,110.0,1984.0,12.0,9.0,0.0,1.0,0.0,0.0,2.1349542
36,110.0,1985.0,12.0,10.0,0.0,1.0,0.0,0.0,2.1258228
37,110.0,1987.0,12.0,12.0,0.0,1.0,0.0,0.0,2.1123934
38,110.0,1983.0,12.0,8.0,0.0,0.0,0.0,0.0,2.2025156
39,110.0,1986.0,12.0,11.0,0.0,1.0,0.0,0.0,1.9910166
40,120.0,1982.0,10.0,4.0,0.0,0.0,0.0,0.0,1.4620852
41,120.0,1985.0,10.0,7.0,0.0,0.0,0.0,0.0,1.4458032
42,120.0,1983.0,10.0,5.0,0.0,0.0,0.0,0.0,1.3202869
43,120.0,1980.0,10.0,2.0,0.0,0.0,0.0,0.0,0.25855488
44,120.0,1986.0,10.0,8.0,0.0,0.0,0.0,0.0,1.806364
45,120.0,1987.0,10.0,9.0,0.0,0.0,0.0,0.0,2.1481202
46,120.0,1981.0,10.0,3.0,0.0,0.0,0.0,0.0,1.3199717
47,120.0,1984.0,10.0,6.0,0.0,0.0,0.0,0.0,1.7036465
48,126.0,1980.0,13.0,2.0,0.0,0.0,0.0,0.0,1.7372855
49,126.0,1987.0,13.0,9.0,0.0,1.0,0.0,0.0,2.4146817
50,126.0,1983.0,13.0,5.0,0.0,0.0,0.0,0.0,1.8554633
51,126.0,1986.0,13.0,8.0,0.0,1.0,0.0,0.0,1.7822016
52,126.0,1984.0,13.0,6.0,0.0,0.0,0.0,0.0,1.9224378
53,126.0,1981.0,13.0,3.0,0.0,0.0,0.0,0.0,1.9896009
54,126.0,1985.0,13.0,7.0,0.0,1.0,0.0,0.0,2.061024
55,126.0,1982.0,13.0,4.0,0.0,0.0,0.0,0.0,2.1899168
56,150.0,1982.0,12.0,4.0,0.0,0.0,0.0,0.0,1.1704406
57,150.0,1987.0,12.0,9.0,1.0,0.0,0.0,0.0,0.8314595
58,150.0,1986.0,12.0,8.0,0.0,0.0,0.0,0.0,1.1193668
59,150.0,1985.0,12.0,7.0,0.0,0.0,0.0,0.0,1.119026
60,150.0,1983.0,12.0,5.0,0.0,0.0,0.0,0.0,1.0979645
61,150.0,1981.0,12.0,3.0,0.0,0.0,0.0,0.0,1.1940397
62,150.0,1980.0,12.0,2.0,0.0,0.0,0.0,0.0,1.2087353
63,150.0,1984.0,12.0,6.0,0.0,0.0,0.0,0.0,0.7658162
64,162.0,1983.0,11.0,5.0,0.0,0.0,0.0,0.0,1.5398885
65,162.0,1981.0,11.0,3.0,0.0,0.0,0.0,0.0,1.0649123
66,162.0,1984.0,11.0,6.0,0.0,0.0,0.0,0.0,1.598286
67,162.0,1980.0,11.0,2.0,1.0,0.0,0.0,0.0,0.50247014
68,162.0,1986.0,11.0,8.0,0.0,0.0,0.0,0.0,1.9884559
69,162.0,1982.0,11.0,4.0,0.0,0.0,0.0,0.0,1.189498
70,162.0,1987.0,11.0,9.0,0.0,0.0,0.0,0.0,2.1586785
71,162.0,1985.0,11.0,7.0,0.0,0.0,0.0,0.0,1.7373207
72,166.0,1981.0,10.0,3.0,1.0,0.0,0.0,0.0,0.9376874
73,166.0,1987.0,10.0,9.0,0.0,1.0,0.0,0.0,1.8510748
74,166.0,1985.0,10.0,7.0,0.0,0.0,0.0,0.0,1.7282214
75,166.0,1984.0,10.0,6.0,1.0,0.0,0.0,0.0,1.1701835
76,166.0,1982.0,10.0,4.0,1.0,0.0,0.0,0.0,1.3674877
77,166.0,1980.0,10.0,2.0,1.0,0.0,0.0,0.0,1.005294
78,166.0,1986.0,10.0,8.0,0.0,1.0,0.0,0.0,1.7098647
79,166.0,1983.0,10.0,5.0,1.0,0.0,0.0,0.0,1.3780087
80,189.0,1984.0,14.0,6.0,0.0,0.0,0.0,0.0,1.4459195
81,189.0,1980.0,14.0,2.0,0.0,0.0,0.0,0.0,1.1305454
82,189.0,1985.0,14.0,7.0,0.0,0.0,0.0,0.0,1.6851163
83,189.0,1981.0,14.0,3.0,0.0,0.0,0.0,0.0,0.83624804
84,189.0,1982.0,14.0,4.0,0.0,0.0,0.0,0.0,1.4673598
85,189.0,1986.0,14.0,8.0,0.0,0.0,0.0,0.0,1.686175
86,189.0,1987.0,14.0,9.0,0.0,0.0,0.0,0.0,1.7551303
87,189.0,1983.0,14.0,5.0,0.0,0.0,0.0,0.0,1.0714836
88,193.0,1984.0,14.0,6.0,0.0,0.0,0.0,0.0,2.2171285
89,193.0,1981.0,14.0,3.0,0.0,0.0,0.0,0.0,2.4938753
90,193.0,1985.0,14.0,7.0,0.0,1.0,0.0,0.0,2.2720315
91,193.0,1982.0,14.0,4.0,0.0,0.0,0.0,0.0,1.8226621
92,193.0,1987.0,14.0,9.0,0.0,1.0,0.0,0.0,2.42945
93,193.0,1980.0,14.0,2.0,0.0,0.0,0.0,0.0,1.565692
94,193.0,1986.0,14.0,8.0,0.0,1.0,0.0,0.0,2.3537986
95,193.0,1983.0,14.0,5.0,0.0,0.0,0.0,0.0,2.380336
96,209.0,1985.0,11.0,8.0,0.0,0.0,0.0,0.0,1.9025748
97,209.0,1980.0,11.0,3.0,0.0,0.0,0.0,0.0,1.9180032
98,209.0,1987.0,11.0,10.0,0.0,0.0,0.0,0.0,2.1869822
99,209.0,1982.0,11.0,5.0,0.0,0.0,0.0,0.0,1.9781854
100,209.0,1981.0,11.0,4.0,0.0,0.0,0.0,0.0,0.76540774
101,209.0,1983.0,11.0,6.0,0.0,0.0,0.0,0.0,1.9485537
102,209.0,1984.0,11.0,7.0,0.0,0.0,0.0,0.0,2.037026
103,209.0,1986.0,11.0,9.0,0.0,0.0,0.0,0.0,1.9726037
104,212.0,1987.0,11.0,9.0,1.0,1.0,0.0,0.0,2.2412844
105,212.0,1986.0,11.0,8.0,0.0,1.0,0.0,0.0,2.1439662
106,212.0,1985.0,11.0,7.0,0.0,0.0,0.0,0.0,2.0969858
107,212.0,1982.0,11.0,4.0,1.0,0.0,0.0,0.0,1.9638654
108,212.0,1981.0,11.0,3.0,0.0,0.0,0.0,0.0,2.1799827
109,212.0,1980.0,11.0,2.0,0.0,0.0,0.0,0.0,1.7844718
110,212.0,1984.0,11.0,6.0,0.0,0.0,0.0,0.0,2.0128613
111,212.0,1983.0,11.0,5.0,0.0,0.0,0.0,0.0,2.0449328
112,218.0,1981.0,15.0,3.0,0.0,0.0,0.0,0.0,1.9621525
113,218.0,1984.0,15.0,6.0,0.0,1.0,0.0,0.0,2.4283373
114,218.0,1986.0,15.0,8.0,0.0,1.0,0.0,0.0,2.9663963
115,218.0,1983.0,15.0,5.0,0.0,1.0,0.0,0.0,2.1949177
116,218.0,1987.0,15.0,9.0,0.0,1.0,0.0,0.0,3.0650518
117,218.0,1980.0,15.0,2.0,0.0,0.0,0.0,0.0,2.0133133
118,218.0,1982.0,15.0,4.0,0.0,0.0,0.0,0.0,2.275641
119,218.0,1985.0,15.0,7.0,0.0,1.0,0.0,0.0,2.723037
120,243.0,1982.0,12.0,6.0,0.0,0.0,0.0,0.0,1.6905034
121,243.0,1981.0,12.0,5.0,0.0,0.0,0.0,0.0,1.6835458
122,243.0,1987.0,12.0,11.0,0.0,1.0,0.0,0.0,1.786971
123,243.0,1985.0,12.0,9.0,0.0,1.0,0.0,0.0,1.6717682
124,243.0,1986.0,12.0,10.0,0.0,1.0,0.0,0.0,1.6357175
125,243.0,1984.0,12.0,8.0,0.0,1.0,0.0,0.0,1.6980506
