ID,Brand,Model,Year_of_production,Type,Leather_interior,Fuel_type,Engine_volume,Mileage,Cylinders,Gear_box,Drive_wheels,Doors,Color,Airbags,Tax,Price
45774636,OPEL,Combo,2003,Goods wagon,No,Diesel,1.7,152000 km,4.0,Manual,Front,04-May,Grey,2,1438,9408
45787352,MERCEDES-BENZ,Vito,2008,Minivan,No,Diesel,2.2 Turbo,198700 km,4.0,Manual,Rear,02-Mar,White,6,1195,17000
45393419,TOYOTA,CHR,2018,Jeep,No,Petrol,2,37214 km,4.0,Automatic,Front,04-May,Grey,10,1079,36065
45802407,HYUNDAI,Grandeur,2012,Sedan,Yes,Petrol,3,137235 km,4.0,Automatic,Front,04-May,Silver,4,919,15524
45647870,MERCEDES-BENZ,ML 350,2015,Jeep,Yes,Diesel,3.5,79080 km,6.0,Automatic,4x4,04-May,Grey,12,1273,22894
45813003,CHEVROLET,Cruze,2016,Sedan,No,Petrol,1.4 Turbo,13120 km,4.0,Tiptronic,Front,04-May,White,12,650,20385
45801537,HYUNDAI,Elantra,2014,Sedan,No,Petrol,1.8,150000 km,4.0,Automatic,Front,04-May,White,4,584,13700
45733158,HYUNDAI,Sonata,2010,Sedan,Yes,Petrol,2,155590 km,4.0,Automatic,Front,04-May,Grey,4,836,20297
45798410,HYUNDAI,Lantra,2013,Sedan,No,Petrol,1.8,62000 km,4.0,Automatic,Front,04-May,White,8,585,12858
45730561,SSANGYONG,REXTON,2010,Jeep,Yes,Diesel,2.7,194159 km,4.0,Automatic,Front,04-May,Black,4,1099,20266
45769197,MERCEDES-BENZ,E 350,2014,Sedan,Yes,Diesel,3.5,200179 km,6.0,Automatic,4x4,04-May,Black,12,1053,30734
45788610,FORD,Mustang,2016,Coupe,No,Petrol,2.3 Turbo,85000 km,4.0,Tiptronic,Rear,02-Mar,Blue,8,1011,43905
45539065,TOYOTA,Prius C,2015,Sedan,No,Hybrid,1.5,88000 km,4.0,Automatic,Front,04-May,White,10,308,17562
45809085,CHEVROLET,Captiva,2018,Jeep,Yes,Diesel,2,37691 km,4.0,Automatic,Front,04-May,Black,4,1079,50560
45732547,HYUNDAI,Santa FE,2016,Jeep,Yes,Diesel,2,17320 km,4.0,Automatic,Front,04-May,White,4,891,61816
45393927,TOYOTA,Prius,2011,Hatchback,No,Hybrid,1.8,14900 km,4.0,Automatic,Front,04-May,Silver,10,645,15053
45729847,SSANGYONG,REXTON,2016,Jeep,Yes,Diesel,0,73968 km,4.0,Automatic,Front,04-May,Black,4,87,47076
45815266,MERCEDES-BENZ,GLK 350,2015,Jeep,Yes,Petrol,3.5,83891 km,6.0,Automatic,Rear,04-May,Grey,12,1273,6586
45797403,HYUNDAI,Elantra,2010,Sedan,Yes,Petrol,1.6,138425 km,4.0,Automatic,Front,04-May,White,4,687,15612
45769683,CHEVROLET,Volt,2017,Hatchback,Yes,Hybrid,1.5,52062 km,4.0,Automatic,Front,04-May,Blue,0,382,26030
45732864,HYUNDAI,Sonata,2016,Sedan,Yes,LPG,2,291105 km,4.0,Automatic,Front,04-May,Silver,4,891,15681
45803349,HYUNDAI,Sonata,2014,Sedan,Yes,LPG,2,698359 km,4.0,Automatic,Front,04-May,Orange,4,639,8467
45128251,TOYOTA,Camry,2007,Sedan,Yes,Hybrid,2.4,204000 km,4.0,Automatic,Front,04-May,Black,8,1528,10976
45791868,TOYOTA,Camry,2015,Sedan,Yes,Petrol,2.5,98000 km,6.0,Tiptronic,Rear,04-May,White,8,934,17111
45761084,TOYOTA,4Runner LIMITED,2013,Jeep,Yes,Petrol,4,112000 km,6.0,Tiptronic,4x4,04-May,Grey,8,1194,61154
45804473,HYUNDAI,Tucson,2014,Jeep,Yes,Diesel,2,251201 km,4.0,Automatic,Front,04-May,Silver,4,639,25591
45803402,HYUNDAI,Sonata,2013,Sedan,Yes,LPG,2,53000 km,4.0,Automatic,Front,04-May,Silver,4,640,7683
45776695,VOLKSWAGEN,Jetta,2015,Sedan,No,Petrol,1.8 Turbo,56000 km,4.0,Tiptronic,Front,04-May,White,8,697,14500
45802366,HYUNDAI,H1,2011,Minivan,Yes,Diesel,2.5,85226 km,4.0,Automatic,Front,04-May,Blue,4,862,13454
45732695,HYUNDAI,Sonata,2015,Sedan,Yes,LPG,2,471632 km,4.0,Automatic,Front,04-May,Orange,4,765,12544
45815051,TOYOTA,Camry,2013,Sedan,Yes,Petrol,2.4,203200 km,4.0,Automatic,Front,04-May,Blue,4,751,24462
